index,Xwidth,Xcumsum,Yval,Xcumsumleft,Macro grouping,Stage subgrouped
76,0.141041079,1077.432024,191609.4569,1077.290983,Liver transplant,Liver Transplant
77,0.007029906,1077.439054,191604.4847,1077.432024,Liver transplant,Liver Transplant
78,0.029209495,1077.468264,191601.9933,1077.439054,Liver transplant,Liver Transplant
79,0.001798619,1077.470062,191601.6119,1077.468264,Liver transplant,Liver Transplant
80,0.005413734,1077.475476,191600.67,1077.470062,Liver transplant,Liver Transplant
81,0.000253494,1077.475729,191599.7747,1077.475476,Liver transplant,Liver Transplant
82,7.7315E-05,1077.475807,191595.112,1077.475729,Liver transplant,Liver Transplant
83,0.001963134,1077.47777,191595.0846,1077.475807,Liver transplant,Liver Transplant
84,0.000466905,1077.478237,191591.8616,1077.47777,Liver transplant,Liver Transplant
85,9.97876E-05,1077.478337,191589.5279,1077.478237,Liver transplant,Liver Transplant
86,3.55885E-05,1077.478372,191587.3948,1077.478337,Liver transplant,Liver Transplant
87,0.000201643,1077.478574,190695.5952,1077.478372,Liver transplant,Liver Transplant
88,15.14631307,1092.624887,190653.9957,1077.478574,Liver transplant,Decomp
89,0.000534048,1092.625421,190649.9349,1092.624887,Liver transplant,Liver Transplant
90,1.122723628,1093.748144,189522.5752,1092.625421,Liver transplant,Liver Transplant
91,1.989204591,1095.737349,189513.1427,1093.748144,Liver transplant,Liver Transplant
92,0.122530802,1095.85988,189185.9925,1095.737349,Liver transplant,Liver Transplant - Tx
93,0.00283623,1095.862716,188714.8906,1095.85988,Liver transplant,Liver Transplant - Tx
94,0.003280168,1095.865996,187262.7774,1095.862716,Liver transplant,Liver Transplant - Tx
95,0.003280168,1095.869276,187262.7774,1095.865996,Liver transplant,Liver Transplant - Tx
96,0.044267896,1095.913544,186038.7395,1095.869276,Liver transplant,Liver Transplant
97,0.026752914,1095.940297,186038.7395,1095.913544,Liver transplant,Liver Transplant
98,0.0050466,1095.945344,185356.15,1095.940297,Liver transplant,Liver Transplant - Tx
99,9.93022E-05,1095.945443,184488.0181,1095.945344,Liver transplant,Liver Transplant
100,0.0777322,1096.023175,184480.5455,1095.945443,Liver transplant,Liver Transplant - Tx
101,0.000289277,1096.023465,184449.4518,1096.023175,Liver transplant,Liver Transplant
102,10.07156993,1106.095035,182758.3981,1096.023465,Liver transplant,Liver Transplant
103,4.931465181,1111.0265,182699.7716,1106.095035,Liver transplant,Liver Transplant
104,58.09773926,1169.124239,182475.9842,1111.0265,Liver transplant,Decomp
105,0.007887231,1169.132126,182139.0958,1169.124239,Liver transplant,Decomp
106,0.007887231,1169.140013,182139.0958,1169.132126,Liver transplant,Decomp
107,0.153456182,1169.29347,180880.0382,1169.140013,Liver transplant,Liver Transplant - Tx
108,0.000635441,1169.294105,180779.7874,1169.29347,Liver transplant,Liver Transplant
109,0.000241578,1169.294347,180601.7976,1169.294105,Liver transplant,Liver Transplant
110,8.969104933,1178.263452,180171.3649,1169.294347,Liver transplant,Liver Transplant
111,1.867927205,1180.131379,180147.7875,1178.263452,Liver transplant,Liver Transplant
